task_id=11 result=2.46624
task_id=13 result=2.32154
task_id=18 result=1.29138
task_id=19 result=0.955299
task_id=20 result=2.28508
task_id=21 result=2.54215
task_id=22 result=2.73271
task_id=23 result=1.86253
task_id=24 result=2.94894
task_id=25 result=2.22604
task_id=26 result=1.64494
task_id=27 result=2.53729
task_id=29 result=1.54612
task_id=31 result=2.73988
task_id=33 result=1.55604
task_id=34 result=1.38878
task_id=35 result=1.0012
task_id=37 result=2.7521
task_id=38 result=1.29789
task_id=40 result=1.63066
task_id=42 result=2.90521
task_id=45 result=1.97227
task_id=47 result=1.67808
task_id=49 result=1.52587
task_id=50 result=2.64175
task_id=52 result=2.5817
task_id=54 result=1.67499
task_id=56 result=1.66349
task_id=57 result=1.5813
task_id=59 result=1.82483
task_id=61 result=1.31764
task_id=62 result=1.52577
task_id=65 result=1.08523
task_id=67 result=2.48224
task_id=68 result=1.39286
task_id=69 result=0.763871
task_id=79 result=2.13531
task_id=81 result=2.41819
task_id=83 result=2.56095
task_id=86 result=2.80109
task_id=88 result=2.95558
task_id=90 result=1.88027
task_id=91 result=1.34822
task_id=92 result=2.94767
task_id=94 result=2.34886
task_id=95 result=2.75794
task_id=96 result=2.98294
task_id=97 result=3.10577
task_id=99 result=3.0497
task_id=100 result=1.88847
